Source IP,Source MAC,Source TCP Port,Source UDP Port,Target IP,Target MAC,Target TCP Port,Target UDP Port,Protocol,Application Protocol,Packets A->B,Packets B->A,Bytes A->B,Bytes B->A,First Seen,Last Seen,Duration (seconds),Conversation Status,TCP Flags,Stream ID,Frame Protocols,VLAN ID,DiffServ Field,IP Version
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.13,58:bf:ea:be:b3:80,,51547,UDP,DATA,1,0,127,0,2019-02-24T03:55:38.694050,2019-02-24T03:55:38.694050,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.13,58:bf:ea:be:b3:80,,51816,UDP,DATA,1,0,127,0,2019-02-24T03:55:39.524461,2019-02-24T03:55:39.524461,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.14,58:bf:ea:be:b3:80,,65372,UDP,DATA,1,0,127,0,2019-02-24T03:55:42.616875,2019-02-24T03:55:42.616875,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.14,58:bf:ea:be:ad:80,,49251,UDP,DATA,1,0,127,0,2019-02-24T03:55:42.924816,2019-02-24T03:55:42.924816,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.8,58:bf:ea:be:b3:80,,59725,UDP,DATA,1,0,127,0,2019-02-24T03:55:45.761452,2019-02-24T03:55:45.761452,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.8,58:bf:ea:be:ad:80,,59987,UDP,DATA,1,0,127,0,2019-02-24T03:55:46.096092,2019-02-24T03:55:46.096092,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.9,58:bf:ea:be:ad:80,,64366,UDP,DATA,1,0,127,0,2019-02-24T03:55:52.872708,2019-02-24T03:55:52.872708,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.9,58:bf:ea:be:b3:80,,64629,UDP,DATA,1,0,127,0,2019-02-24T03:55:53.193040,2019-02-24T03:55:53.193040,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.10,58:bf:ea:be:b3:80,,63533,UDP,DATA,1,0,127,0,2019-02-24T03:55:55.687833,2019-02-24T03:55:55.687833,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.7,58:bf:ea:be:ad:80,,57642,UDP,DATA,1,0,127,0,2019-02-24T03:55:55.849009,2019-02-24T03:55:55.849009,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
